Source,Target,Weight,Type
Caeiro_1,Caeiro_2,5,undirected
Caeiro_1,Caeiro_3,4,undirected
Caeiro_1,Campos_4,1,undirected
Caeiro_2,Caeiro_1,5,undirected
Caeiro_2,Caeiro_3,6,undirected
Caeiro_2,Campos_4,1,undirected
Caeiro_3,Caeiro_1,4,undirected
Caeiro_3,Caeiro_2,6,undirected
Caeiro_3,Campos_4,1,undirected
Campos_1,Campos_2,4,undirected
Campos_1,Campos_3,2,undirected
Campos_1,Campos_4,6,undirected
Campos_1,Reis_1,1,undirected
Campos_1,Reis_2,1,undirected
Campos_2,Campos_1,4,undirected
Campos_2,Campos_3,3,undirected
Campos_2,Campos_4,5,undirected
Campos_3,Campos_1,2,undirected
Campos_3,Campos_2,3,undirected
Campos_3,Campos_4,4,undirected
Campos_4,Caeiro_1,1,undirected
Campos_4,Caeiro_2,1,undirected
Campos_4,Caeiro_3,1,undirected
Campos_4,Campos_1,6,undirected
Campos_4,Campos_2,5,undirected
Campos_4,Campos_3,4,undirected
Campos_4,Reis_1,2,undirected
Campos_4,Reis_2,2,undirected
Reis_1,Campos_1,1,undirected
Reis_1,Campos_4,2,undirected
Reis_1,Reis_2,6,undirected
Reis_2,Campos_1,1,undirected
Reis_2,Campos_4,2,undirected
Reis_2,Reis_1,6,undirected
