"Caeiro_1" "Caeiro_2" "Campos_1" "Campos_2" "Campos_3" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Reis_1"
"que" 4.83315286937691 4.30090710040663 3.48538387407645 3.17006316291264 3.79212103350034 5.05440158259149 4.91366551554021 5.06750146742321 5.08108108108108 4.68827435821191
"a" 3.57318633723792 3.86299655927432 3.46932219723739 3.14622810153736 3.20267216818941 4.38180019782394 3.85791810557474 3.6685580121307 3.54791154791155 3.87550797898702
"e" 4.38035239688946 4.53550203315608 2.89110183103116 3.28923846978906 3.45810000982415 3.17507418397626 3.48297977306364 3.36529054979456 3.27272727272727 3.11230052532461
"o" 3.28772516980018 3.34688770722552 2.97141021522647 2.60993922059349 2.85882699675803 3.63006923837784 4.2920572274297 3.47290158481706 3.64619164619165 3.60788978094955
"de" 2.56915050693966 1.84548013762903 3.6781239961452 3.55142414491717 3.68405540819334 2.23541048466865 2.48643315244203 2.59244766190569 2.77149877149877 2.03191594806225
"não" 2.44118515601929 2.69002189552706 1.63026019916479 1.22154689548326 1.8272914824639 2.20573689416419 2.12136161815491 2.01526120133046 2.31941031941032 2.07156308851224
"é" 2.34275027069593 2.39286831404442 1.0359781561195 0.78059826004052 1.20837017388742 1.75074183976261 1.90429205722743 2.06417530815887 1.86732186732187 1.34800277529983
"me" 1.19106211241264 1.29809196121364 1.21265660134918 1.07853652723156 1.29678750368406 1.32542037586548 1.4602861371485 1.1348072784191 1.31695331695332 0.812766379224898
"se" 1.41746234865636 1.32937128558023 0.819145518792162 1.03086640448099 0.854700854700855 1.18694362017804 1.35175135668476 1.16415574251614 1.21867321867322 1.07047279214987
"do" 0.964661876168914 0.828902095714733 1.08416318663668 1.0904540579192 1.09048040082523 1.13748763600396 1.03601381351751 1.43807474075523 0.914004914004914 1.03082565169987
"um" 0.85638350231322 1.21989365029715 0.811114680372631 1.03086640448099 0.952942332252677 0.919881305637982 1.19388258510113 1.11524163568773 1.31695331695332 0.634354247199921
"em" 0.620139777537159 0.500469189865499 0.931577256665596 1.01299010844953 0.785931820414579 1.03857566765579 1.04588061174149 0.958716493836823 1.14987714987715 0.862325304787392
"os" 0.964661876168914 0.89146074444792 1.38933504657886 1.0606602312001 0.903821593476766 0.356083086053412 0.48347311297484 0.616317746037957 0.609336609336609 1.24888492417484
"eu" 1.0434097844276 0.875821082264623 1.10825570189528 0.738886902633774 1.11995284409078 1.02868447082097 0.848544647261964 0.811974173351595 0.825552825552825 0.227971057587471
"da" 0.935131410571907 0.703784798248358 1.01188564086091 0.881897270885473 0.815404263680126 0.979228486646884 0.720276270350271 0.929368029739777 0.530712530712531 0.743383883437407
"como" 1.02372280736293 1.20425398811386 0.578220366206232 0.887856036229293 0.785931820414579 0.751730959446093 0.680809077454366 0.743494423791822 0.805896805896806 0.664089602537417
"as" 0.964661876168914 1.23553331248045 1.10022486347575 0.929567393636039 0.815404263680126 0.405539070227498 0.453872718302911 0.459792604187048 0.697788697788698 0.832589949449896
"para" 1.09262722708928 0.860181420081326 1.07613234821715 0.726969371946133 0.736811081638668 0.435212660731949 0.276270350271337 0.42066131872432 0.520884520884521 0.545148181187432
