"Caeiro_1" "Caeiro_2" "Campos_1" "Campos_2" "Campos_3" "Campos_4" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Reis_1"
"que" 4.66230085035676 4.57133818411895 3.12959950422186 4.14288525880732 3.4333940730795 3.07448036951501 5.20305828616821 5.24712587206446 4.96783770410688 4.49126698087053 4.68827435821191
"a" 3.9878799726322 3.19519139512812 3.31551630645286 3.62133438299547 3.06895559604872 3.18995381062356 3.84271671134942 3.87147489436966 3.84957941613063 3.83513538489973 3.87550797898702
"e" 4.47659075359202 4.38152483391332 3.07537377023782 3.47372564455816 3.22240337585116 3.01674364896074 2.98877966438288 3.34086666011595 3.30529440870856 3.74272248405877 3.11230052532461
"o" 3.33300752614603 3.27428029104714 2.70354016577582 2.83408777799646 2.9730507336722 2.75692840646651 3.57462019660411 3.95990960007861 3.67144977733795 3.85361796506792 3.60788978094955
"de" 2.45332812041834 2.02467573552673 3.71058951119374 3.32611690612084 3.6156133115949 3.8972286374134 2.1149836163241 2.58425862238381 2.5531914893617 2.65225025413548 2.03191594806225
"não" 2.51197341413352 2.57829800695982 1.08451467968084 2.10588466837237 1.40021099069723 1.54445727482679 2.48237513653063 2.32878058366906 2.18703612073231 1.81129285648277 2.07156308851224
"é" 2.17965008308083 2.65738690287884 0.635215740955922 1.40720330643574 0.815191330200441 1.270207852194 1.7178035944792 1.87678097671219 2.12765957446809 1.89446446723963 1.34800277529983
"me" 1.25109959925716 1.202151217969 0.98380974513905 1.24975398543594 1.19881077970653 1.32794457274827 1.37027107536491 1.28721627198585 1.56358238495794 1.12743739025968 0.812766379224898
"se" 1.29997067735314 1.51850680164505 1.0302889456968 0.993898838811258 0.85355327515105 0.750577367205543 1.25111706881144 1.12017293898005 1.33597229094508 1.16440255059606 1.07047279214987
"do" 1.01651842439644 0.743435621638722 1.08451467968084 1.10214524699862 1.16044883475592 0.967090069284065 1.14189256280409 1.021912154859 1.03908955962395 1.27529803160521 1.03082565169987
"um" 0.928550483823673 1.10724454286618 0.976063211712759 0.993898838811258 0.700105495348614 1.11143187066975 1.13196306225797 0.962955684386361 1.26669965363681 1.17364384068016 0.634354247199921
"em" 0.518033427817418 0.664346725719709 0.883104810597258 0.85613068293643 0.834372302675746 1.21247113163972 1.03266805679674 1.26756411516164 1.12815437902029 0.970335458830053 0.862325304787392
"os" 0.918776268204477 0.964884530211958 1.05352854597568 0.905333595748868 1.41939196317253 1.06812933025404 0.327673518022043 0.501129999017392 0.653142008906482 0.526753534793457 1.24888492417484
"eu" 1.08493793373082 0.806706738373932 0.75916027577659 1.05294233418618 1.0645439723794 0.952655889145496 1.0128090557045 0.894173135501621 0.870856011875309 0.739303206727659 0.227971057587471
"da" 0.801485680774118 0.917431192660551 0.80563947633434 1.10214524699862 0.978229596240529 0.808314087759815 0.635488034951842 0.756608037732141 0.712518555170708 1.09971352000739 0.743383883437407
"como" 1.16313165868439 0.980702309395761 0.828879076613216 0.787246604999016 0.632972091685048 0.793879907621247 0.665276536590209 0.707477645671612 0.633349826818407 0.794750947232234 0.664089602537417
"as" 0.996969993158049 1.18633343878519 1.09226121310713 0.60027553631175 1.0645439723794 0.981524249422633 0.387250521298779 0.383217058072123 0.425531914893617 0.545236114961649 0.832589949449896
"para" 1.01651842439644 0.980702309395761 0.735920675497715 0.816768352686479 0.930277165052268 0.92378752886836 0.446827524575514 0.353738822835806 0.475012370113805 0.351169023195638 0.545148181187432
"no" 0.557130290294204 0.632711167352104 0.728174142071423 0.610116118874237 0.575429174259135 0.577367205542725 0.794360043689802 0.756608037732141 0.653142008906482 0.600683855466223 0.614530676974923
"por" 0.635324015247776 0.949066751028156 0.75916027577659 0.747884274749065 0.920686678814616 0.606235565819861 0.506404527852249 0.432347450132652 0.593765462642256 0.517512244709361 0.485677470512439
"uma" 0.850356758870101 0.980702309395761 0.658455341234797 0.718362527061602 0.652153064160353 0.606235565819861 0.565981531128984 0.530608234253709 0.643245917862444 0.702338046391276 0.218059272474973
"na" 0.361645977910273 0.49035115469788 0.511271206135254 0.570753788624287 0.661743550398005 0.707274826789838 0.536193029490617 0.73695588090793 0.564077189510144 0.739303206727659 0.703736742987412
"com" 0.586452937151794 0.521986713065486 0.743667208924007 0.649478449124188 0.68092452287331 0.837182448036952 0.397180021844901 0.314434509187383 0.425531914893617 0.591442565382127 0.535236396074933
"ser" 0.459388134102238 0.442897817146473 0.519017739561546 0.51171029324936 0.412390908219047 0.418591224018476 0.774501042597557 0.795912351380564 0.890648193963384 0.56371869512984 0.257706412924968
