"Caeiro_1" "Caeiro_2" "Caeiro_3" "Campos_1" "Campos_2" "Campos_3" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5" "Pessoa_6" "Reis_1" "Reis_2"
"que" 4.5450159220303 4.34868162140889 4.40353726764122 2.6830985915493 3.67512298639915 3.4202235553062 5.03646757342795 4.87299219158706 4.94794229368813 4.5607439651761 4.96692011454527 5.20658712158564 4.75133794543793 4.59314525530427
"a" 3.82128727202548 3.56158992522629 3.73578776394153 3.47887323943662 3.26034532651683 3.29506710974926 3.6073329390893 3.87708046734223 3.84183904426381 4.39256034823902 3.49560580626049 3.94438418301943 3.9681503720141 3.93254060775628
"o" 3.27125349802181 3.39433293978749 3.37484208626602 2.52112676056338 3.01919552425967 2.84623020154503 4.02128917800118 3.64844703648447 3.72178157413057 3.7989711119905 3.44623284289523 3.66827729020807 3.45255188617674 3.69161420688583
"e" 4.69941136736466 3.33530106257379 3.42898393791734 2.90845070422535 3.65583100221858 3.26485693323551 3.02582298442736 3.35199860494856 3.37538625046744 4.01662049861496 3.1006220993384 3.48091904151464 2.90432058478005 2.94551954612575
"de" 2.55717456335038 2.35143644234553 2.30102869518138 3.78169014084507 3.68476897848944 3.58422165638082 2.54287403903016 2.54596888260255 2.5113660965577 2.55243371586862 2.62664165103189 2.28774282615127 2.02976112779011 2.01290122017564
"não" 2.39312940268262 3.07949626131444 2.7973290019852 0.964788732394366 1.38902286100125 1.5083509559363 2.29647151586832 2.17395516459669 2.16890708339074 1.78076770874555 2.18228498074454 2.3764914702692 2.15376582691555 2.01290122017564
"é" 2.60542314001737 2.58756395120031 2.48150153401913 0.52112676056338 0.983891193209222 1.00556730395753 2.08949339641238 1.86394373292515 1.86777933043358 1.67194301543332 1.74780290313025 1.93274824967952 1.27267980681373 1.26680655941556
"me" 1.18691498600791 1.10192837465565 1.34452264934127 1.23239436619718 1.23468698755667 1.11993440075957 1.43899073526513 1.30398558446843 1.29701430848865 1.26632370399683 1.5305618643231 1.23262005719357 0.802767262759431 0.792725577057589
"se" 1.36060986200907 1.61353797717434 1.40768814293449 0.838028169014085 0.790971351403492 0.934357602175133 1.18273211117682 1.21873244075875 1.20254285658053 1.31578947368421 1.21457489878543 1.0551227689577 1.04425009789845 1.0647392554597
"do" 0.839525234005597 0.983864620228257 1.05576610720087 1.09154929577465 1.14787305874409 1.07461913598895 1.29114922136803 1.11991629691345 1.12578480190517 1.29600316580926 0.987459267305224 0.976235085297308 0.972457903667929 1.01033651977928
"um" 1.10971726334073 0.964187327823691 0.893340552246887 0.873239436619718 0.87778528021607 0.955936299684951 1.23201261580919 1.11410358256961 1.12972111240135 1.19707162643451 1.31332082551595 1.00581796666995 0.639603184962799 0.652832828165073
