"Caeiro_1" "Caeiro_2" "Caeiro_3" "Campos_1" "Campos_2" "Campos_3" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5" "Reis_1" "Reis_2"
"que" 4.53753563509661 4.13385826771654 4.78718175562764 3.99119811821838 3.43965359516985 2.75658557650785 5.02202643171806 4.68488016569681 4.84633569739953 4.87322951717662 4.90054612869641 4.54575400223994 4.44347636680462
"a" 3.66645549572379 3.85826771653543 3.75503784527671 3.46763790879429 3.32174584781769 3.08766373974377 3.73959862946647 3.88598481112536 3.8317572892041 3.85593551921121 3.89778808745365 3.86718492654325 3.95701735279169
"e" 4.07031992397846 3.60236220472441 4.37432419148727 3.06548296532362 3.2465288365758 3.38995249748093 3.30885952031326 3.5309202090936 3.45744680851064 3.38054620862352 3.37175108221155 3.01073852032413 2.91875408407754
"o" 3.34573962622743 3.26771653543307 3.35201022313968 3.04271947795736 2.74847024862272 2.77817763063193 4.08223201174743 3.73804122694546 3.57565011820331 3.69551608107051 3.62929003269466 3.45872587126952 3.48507950337617
"de" 2.36775419702249 2.38188976377953 2.18224712474196 3.39175961757341 3.61854810839381 3.69224125521808 2.35927557513461 2.5051780254463 2.55122143420016 2.56475467563972 2.527900052969 2.04229527636867 2.0910477020257
"não" 2.61719987329743 2.89370078740157 2.65408434090239 1.7300250398361 1.49620865605497 1.07960270620412 2.05580029368576 1.94299240556268 2.51182033096927 2.13827373033884 2.17720871614093 2.10158771987614 2.14913236041531
"é" 2.54592968007602 2.67716535433071 2.2608866607687 0.940890811138933 0.992051391514708 0.690945731970635 2.04601076847773 1.51888746424697 1.91095350669819 1.87416855779012 1.86670076165775 1.29125765860729 1.31416539606476
"me" 1.14428254672157 1.19094488188976 1.2582325764278 1.25957963426664 1.14655119838995 1.09399740895351 1.37053352912384 1.09478252293126 1.59574468085106 1.31856952813209 1.28038868289832 0.856446406219118 0.755100559064837
"se" 1.46103896103896 1.48622047244094 1.38602182247125 0.887776007284316 0.888373889532638 0.993234489707787 1.29221732745962 1.20327448466318 1.27068557919622 1.19532044760936 1.1927158486913 1.11996837736346 1.02374210411675
"do" 0.930471967057333 0.984251968503937 0.825715128280743 1.08505956445861 1.07133418714806 1.15157621995106 1.23348017621145 1.39066969129105 0.955476753349094 1.10924172470459 1.11234908400153 1.01455958890573 1.01648152181805
"um" 1.02153943617358 0.94488188976378 0.85520495429077 0.743607253964641 0.931064625642902 0.921260975960846 1.06705824767499 0.976427655587336 1.11308116627266 1.17575710149464 1.15253246634642 0.599512484353383 0.689755318376534
"em" 0.546404814697498 0.511811023622047 0.668436056227268 1.00918127323773 0.93919619442581 0.762919245717576 1.16495349975526 1.04546799487129 1.11308116627266 1.07011503247515 1.0794717711739 0.84985835694051 0.769621723662238
"eu" 0.946309787773202 0.915354330708661 1.04197385235427 1.16852568480158 0.971722469557439 0.604577515474305 0.841899167890357 0.86793569385541 1.14263199369582 0.860787229047656 0.873075307311549 0.256933921865736 0.217817468961011
"da" 0.954228698131137 0.954724409448819 0.638946230217242 1.07747173533652 0.91276859588136 0.863682164963294 0.704845814977974 1.06519380609528 0.738770685579196 0.780577509977307 0.781749438345906 0.744449568482772 0.682494736077833
