"Caeiro_1" "Caeiro_2" "Caeiro_3" "Campos_1" "Campos_2" "Campos_3" "Campos_4" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5" "Reis_1" "Reis_2"
"que" 4.28412167542602 4.56649182351126 4.65433416340567 3.48638243262512 3.02957825081719 3.46006336501584 4.04150197628458 4.71613989893986 4.79921645445642 4.88336642087351 4.95900424775264 4.95616171456405 4.4758064516129 4.50893205398237
"a" 3.85411689759516 3.71490280777538 3.66417644966204 3.2986358667237 3.1890297377023 3.25996331499083 3.55731225296443 4.05231348459328 3.8001958863859 3.7808423142371 4.20823866442754 3.86194419316679 4.05913978494624 3.80684920820657
"o" 3.31262939958592 3.43721073742672 3.27878572275584 2.79718617805029 2.57514151319461 3.08487577121894 3.07312252964427 3.71544634895472 3.32027424094025 3.72943845717527 3.5562580262768 3.75756732308121 3.58870967741935 3.51821514938763
"e" 3.76652333174072 3.94322739895094 4.50017787264319 3.16554969342649 3.117276568604 3.31832582958146 3.18181818181818 3.31913207173288 3.8001958863859 3.36783891094725 3.06233330040502 3.36093521675597 2.98387096774194 3.01895623683595
"de" 2.45261984392419 2.22153656278926 2.3834934187122 3.59570321783355 3.69130192139042 3.63515090878773 3.41897233201581 2.41751709105321 2.70323212536729 2.56664775950085 2.34120320063222 2.53113909957553 2.02956989247312 2.1062485373274
"não" 2.78706800445931 2.85714285714286 2.45464247598719 1.52336137649128 1.09224268516304 1.29231282307821 2.18379446640316 1.92212424452591 2.21351616062684 2.16959727736812 2.43010965128914 2.14494468025885 2.06317204301075 2.01263749122396
"é" 2.50039815257207 2.69052761493366 2.35384797818096 0.986263605684681 0.605915650163438 0.783725195931299 1.60079051383399 1.85276924601209 1.77277179236043 1.92853091321611 1.79788600217327 1.85442905852063 1.39112903225806 1.38856385053436
"me" 1.23427297340341 1.17864856525764 1.1680303569311 1.16688055515947 1.27561189508092 1.15057528764382 1.06719367588933 1.3375606856237 1.27326150832517 1.30813953488372 1.3632322434061 1.30992971957414 0.779569892473118 0.764490209844762
"se" 1.40946010511228 1.46868250539957 1.42298114549982 0.926850135462712 0.900900900900901 0.767050191762548 1.11660079051383 1.19885068859606 1.26346718903036 1.18760635280771 1.10639138595278 1.2351262960128 1.09543010752688 1.08432795069818
"do" 0.96352922439879 0.9379821042888 0.865646863512392 1.06944246399544 1.10021525950729 1.13390028347507 0.99802371541502 1.12949569008224 1.16552399608227 1.10429665343165 1.1952978366097 1.12727019692436 0.974462365591398 1.06092518917232
"um" 1.01927058448798 0.925640234495526 0.978299537531128 0.941109368315985 0.892928326556645 0.883775220943805 1.03754940711462 1.17903497473496 1.13614103819785 1.13974758933636 1.0273634298133 1.15510402894719 0.618279569892473 0.600670879163741
"em" 0.525561395126612 0.561555075593952 0.545476105774932 0.941109368315985 0.924818623933668 0.758712689678172 0.869565217391304 1.07995640542951 0.969637610186092 1.07416335791265 1.18541934209227 1.08899867789298 0.84005376344086 0.897105858491302
"eu" 1.06704889313585 0.925640234495526 0.96051227321238 1.01953514900898 0.621860798851949 0.992162748040687 0.988142292490119 0.80253641137422 0.803134182174339 0.873865570051049 1.01748493529586 0.88546378122608 0.21505376344086 0.1950230127155
"da" 0.844083452779105 0.919469299598889 0.853788687299893 0.926850135462712 0.876983177868134 1.00050025012506 0.968379446640316 0.861983552957495 0.803134182174339 0.76574021554169 0.879186012051763 0.798483056154756 0.759408602150538 0.748888368827522
"os" 0.788342092689919 0.814563406356063 0.930866832681134 1.09796092970198 1.10818783385155 1.50908787727197 0.612648221343874 0.653918557416031 0.568070519098923 0.547716959727737 0.405018275214857 0.506227819915107 1.21639784946237 1.29495280443092
"como" 1.06704889313585 0.981178648565258 1.07316494723112 0.743856647179048 0.781312285737064 0.775387693846923 0.849802371541502 0.861983552957495 0.528893241919687 0.723199092456041 0.701373110737924 0.72715886159627 0.625 0.702082845775801
"as" 0.915750915750916 0.950323974082073 1.15024309261236 0.919720519036076 1.05237981344176 1.05052526263132 0.563241106719368 0.48548498959675 0.401567091087169 0.572532614861032 0.395139780697422 0.487092060399415 0.866935483870968 0.842499414930962
"no" 0.557413600891862 0.543042270904042 0.592908810624926 0.644042017206141 0.661723670573228 0.608637652159413 0.602766798418972 0.871891409888041 0.528893241919687 0.733834373227453 0.612466660081004 0.720200403590564 0.591397849462366 0.631874561198221
"uma" 1.05112279025322 1.0552298673249 0.901221392149887 0.663054327677171 0.613888224507694 0.692012673003168 0.701581027667984 0.544932131180026 0.607247796278159 0.641661939875213 0.671737627185617 0.593208544986431 0.19489247311828 0.21842577424136
"para" 1.05112279025322 0.95649490897871 1.00201588995612 0.841294738343077 0.693613967950251 0.80040020010005 1.03754940711462 0.356682849499653 0.381978452497551 0.402368122518435 0.365504297145115 0.417507480342356 0.530913978494624 0.600670879163741
"por" 0.788342092689919 0.765195927182968 0.758923277599905 0.758115880032321 0.685641393605995 0.983825245956311 0.760869565217391 0.396314277221837 0.705190989226249 0.485677821894498 0.533438703941519 0.492310903903695 0.470430107526882 0.499258912551681
"na" 0.41407867494824 0.413452638074668 0.379461638799953 0.598887779837445 0.621860798851949 0.641987660496915 0.642292490118577 0.723273555929852 0.646425073457395 0.632799205899036 0.484046231354342 0.641917751026373 0.725806451612903 0.717684686793042
"meu" 0.342411211976429 0.259179265658747 0.314241669631211 0.47530776177575 0.446464163278323 0.508587627146907 0.494071146245059 0.733181412860398 0.842311459353575 0.804736245036869 0.780401066877408 0.788045369146197 0.161290322580645 0.1950230127155
"ser" 0.477783086478739 0.512187596420858 0.450610696074944 0.45629545130472 0.342820696802998 0.400200100050025 0.563241106719368 0.812444268304766 0.666013712047013 0.709018718094158 0.810036550429715 0.701064644074873 0.248655913978495 0.234027615258601
"com" 0.565376652333174 0.444307312557852 0.586979722518677 0.712961642663625 0.757394562704297 0.742037685509421 0.652173913043478 0.396314277221837 0.470127326150833 0.436046511627907 0.444532253284599 0.4401224688609 0.497311827956989 0.577268117637881
"mas" 0.772415989807294 0.8207343412527 0.735206925174908 0.406388136318266 0.31890297377023 0.341837585459396 0.592885375494071 0.475577132666204 0.509304603330069 0.542399319342031 0.563074187493826 0.537540880940784 0.369623655913978 0.358842343396521
"sem" 0.398152572065616 0.388768898488121 0.349816198268706 0.375493131802842 0.334848122458742 0.391862597965649 0.424901185770751 0.634102843554939 0.568070519098923 0.634571752694271 0.760644077842537 0.622781991510681 0.342741935483871 0.288634058818941
"tudo" 0.366300366300366 0.277692070348658 0.308312581524961 0.672560482912686 0.534162481065136 0.783725195931299 0.573122529644269 0.465669275735658 0.49951028403526 0.459089619965967 0.414896769732293 0.483612831396563 0.383064516129032 0.405647866448241
"quem" 0.246854594680682 0.277692070348658 0.326099845843709 0.268548885403299 0.247149804671929 0.258462564615641 0.355731225296443 0.733181412860398 0.656219392752204 0.625709018718094 0.721130099772795 0.654095052536358 0.530913978494624 0.475856151025821
