Source,Target,Weight,Type
Arriaga,Assis_1,5,undirected
Arriaga,Junqueiro_1,11,undirected
Arriaga,Leal_1,14,undirected
Arriaga,Pascoaes,1,undirected
Assis_1,Arriaga,5,undirected
Assis_1,Assis_2,30,undirected
Assis_1,Drummond_1,2,undirected
Assis_1,Drummond_2,3,undirected
Assis_1,Espanca,11,undirected
Assis_1,Feijó,13,undirected
Assis_1,Junqueiro_1,6,undirected
Assis_1,Leal_1,10,undirected
Assis_1,Nobre_1,5,undirected
Assis_1,Nobre_2,1,undirected
Assis_1,Pascoaes,11,undirected
Assis_2,Assis_1,30,undirected
Assis_2,Drummond_1,1,undirected
Assis_2,Feijó,12,undirected
Assis_2,Junqueiro_1,6,undirected
Assis_2,Junqueiro_2,1,undirected
Assis_2,Leal_1,17,undirected
Assis_2,Leal_2,2,undirected
Assis_2,Nobre_2,2,undirected
Assis_2,Pascoaes,3,undirected
Caeiro_1,Caeiro_2,22,undirected
Caeiro_1,Caeiro_3,24,undirected
Caeiro_1,Campos_1,5,undirected
Caeiro_1,Campos_4,1,undirected
Caeiro_2,Caeiro_1,22,undirected
Caeiro_2,Caeiro_3,29,undirected
Caeiro_2,Campos_1,5,undirected
Caeiro_3,Caeiro_1,24,undirected
Caeiro_3,Caeiro_2,29,undirected
Caeiro_3,Campos_1,5,undirected
Campos_1,Caeiro_1,5,undirected
Campos_1,Caeiro_2,5,undirected
Campos_1,Caeiro_3,5,undirected
Campos_1,Campos_2,25,undirected
Campos_1,Campos_3,30,undirected
Campos_1,Campos_4,20,undirected
Campos_1,Drummond_1,8,undirected
Campos_1,Drummond_2,9,undirected
Campos_1,Espanca,1,undirected
Campos_1,Nobre_1,2,undirected
Campos_1,Reis_1,10,undirected
Campos_1,Reis_2,10,undirected
Campos_2,Campos_1,25,undirected
Campos_2,Campos_3,20,undirected
Campos_2,Campos_4,8,undirected
Campos_2,Drummond_2,2,undirected
Campos_3,Campos_1,30,undirected
Campos_3,Campos_2,20,undirected
Campos_3,Campos_4,15,undirected
Campos_3,Drummond_1,1,undirected
Campos_3,Drummond_2,1,undirected
Campos_3,Reis_1,3,undirected
Campos_3,Reis_2,1,undirected
Campos_4,Caeiro_1,1,undirected
Campos_4,Campos_1,20,undirected
Campos_4,Campos_2,8,undirected
Campos_4,Campos_3,15,undirected
Campos_4,Pessoa_3,1,undirected
Drummond_1,Assis_1,2,undirected
Drummond_1,Assis_2,1,undirected
Drummond_1,Campos_1,8,undirected
Drummond_1,Campos_3,1,undirected
Drummond_1,Drummond_2,30,undirected
Drummond_1,Feijó,2,undirected
Drummond_1,Nobre_2,2,undirected
Drummond_2,Assis_1,3,undirected
Drummond_2,Campos_1,9,undirected
Drummond_2,Campos_2,2,undirected
Drummond_2,Campos_3,1,undirected
Drummond_2,Drummond_1,30,undirected
Espanca,Assis_1,11,undirected
Espanca,Campos_1,1,undirected
Espanca,Nobre_1,11,undirected
Espanca,Pascoaes,1,undirected
Espanca,Pessoa_3,4,undirected
Espanca,Pessoa_5,2,undirected
Feijó,Assis_1,13,undirected
Feijó,Assis_2,12,undirected
Feijó,Drummond_1,2,undirected
Feijó,Junqueiro_1,3,undirected
Feijó,Leal_1,1,undirected
Feijó,Pascoaes,5,undirected
Junqueiro_1,Arriaga,11,undirected
Junqueiro_1,Assis_1,6,undirected
Junqueiro_1,Assis_2,6,undirected
Junqueiro_1,Feijó,3,undirected
Junqueiro_1,Junqueiro_2,30,undirected
Junqueiro_1,Leal_1,18,undirected
Junqueiro_1,Leal_2,6,undirected
Junqueiro_1,Nobre_2,8,undirected
Junqueiro_2,Assis_2,1,undirected
Junqueiro_2,Junqueiro_1,30,undirected
Junqueiro_2,Leal_1,9,undirected
Junqueiro_2,Leal_2,2,undirected
Junqueiro_2,Nobre_2,10,undirected
Leal_1,Arriaga,14,undirected
Leal_1,Assis_1,10,undirected
Leal_1,Assis_2,17,undirected
Leal_1,Feijó,1,undirected
Leal_1,Junqueiro_1,18,undirected
Leal_1,Junqueiro_2,9,undirected
Leal_1,Leal_2,30,undirected
Leal_1,Nobre_1,3,undirected
Leal_1,Pascoaes,10,undirected
Leal_2,Assis_2,2,undirected
Leal_2,Junqueiro_1,6,undirected
Leal_2,Junqueiro_2,2,undirected
Leal_2,Leal_1,30,undirected
Leal_2,Nobre_1,5,undirected
Leal_2,Nobre_2,7,undirected
Nobre_1,Assis_1,5,undirected
Nobre_1,Campos_1,2,undirected
Nobre_1,Espanca,11,undirected
Nobre_1,Leal_1,3,undirected
Nobre_1,Leal_2,5,undirected
Nobre_1,Nobre_2,30,undirected
Nobre_2,Assis_1,1,undirected
Nobre_2,Assis_2,2,undirected
Nobre_2,Drummond_1,2,undirected
Nobre_2,Junqueiro_1,8,undirected
Nobre_2,Junqueiro_2,10,undirected
Nobre_2,Leal_2,7,undirected
Nobre_2,Nobre_1,30,undirected
Pascoaes,Arriaga,1,undirected
Pascoaes,Assis_1,11,undirected
Pascoaes,Assis_2,3,undirected
Pascoaes,Espanca,1,undirected
Pascoaes,Feijó,5,undirected
Pascoaes,Leal_1,10,undirected
Pessoa_1,Pessoa_2,5,undirected
Pessoa_1,Pessoa_3,21,undirected
Pessoa_1,Pessoa_4,10,undirected
Pessoa_1,Pessoa_5,24,undirected
Pessoa_2,Pessoa_1,5,undirected
Pessoa_2,Pessoa_3,19,undirected
Pessoa_2,Pessoa_5,10,undirected
Pessoa_3,Campos_4,1,undirected
Pessoa_3,Espanca,4,undirected
Pessoa_3,Pessoa_1,21,undirected
Pessoa_3,Pessoa_2,19,undirected
Pessoa_3,Pessoa_4,11,undirected
Pessoa_3,Pessoa_5,30,undirected
Pessoa_3,Reis_1,1,undirected
Pessoa_4,Pessoa_1,10,undirected
Pessoa_4,Pessoa_3,11,undirected
Pessoa_4,Pessoa_5,20,undirected
Pessoa_5,Espanca,2,undirected
Pessoa_5,Pessoa_1,24,undirected
Pessoa_5,Pessoa_2,10,undirected
Pessoa_5,Pessoa_3,30,undirected
Pessoa_5,Pessoa_4,20,undirected
Pessoa_5,Reis_1,1,undirected
Pessoa_5,Reis_2,4,undirected
Reis_1,Campos_1,10,undirected
Reis_1,Campos_3,3,undirected
Reis_1,Pessoa_3,1,undirected
Reis_1,Pessoa_5,1,undirected
Reis_1,Reis_2,30,undirected
Reis_2,Campos_1,10,undirected
Reis_2,Campos_3,1,undirected
Reis_2,Pessoa_5,4,undirected
Reis_2,Reis_1,30,undirected
