"Arriaga" "Assis_1" "Assis_2" "Caeiro_1" "Caeiro_2" "Caeiro_3" "Campos_1" "Campos_2" "Campos_3" "Campos_4" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5" "Reis_1" "Reis_2"
"Arriaga" 0 0.928987347623804 0.990708552014809 1.66522743828295 1.62875615811388 1.62406112828637 1.26857010006599 1.25630410593443 1.36766368548664 1.47204481998743 1.37510022853779 1.34777827284999 1.26403933517195 1.09103345140875 0.895163667850775 1.03462945972556 0.928064559486823 0.989282383238327 1.18796458444492 1.00864439806827 0.950582397217389 1.56148882728477 1.44239589743342 1.50545043896005 1.56017137273727 1.50311883494875 1.27912634831317 1.28393808844578
"Assis_1" 0.928987347623804 0 0.62516207666443 1.44499449548004 1.44240266024181 1.42910037804933 1.17568536829798 1.20109249031011 1.20755369662933 1.33835530010175 1.05004884283313 1.0056504369804 1.01951716539924 0.894216090139505 0.802923331670778 0.864630153538833 0.807727582340302 0.868267925456865 0.944680781929294 0.832446877852449 0.844374328692781 1.24700204132116 1.214492462637 1.21048788224173 1.26697550686681 1.23312827763 1.15848821212233 1.18068630359651
"Assis_2" 0.990708552014809 0.62516207666443 0 1.45662374538722 1.43760799157613 1.42339024904863 1.15801531502462 1.18802024356908 1.20935385042653 1.34427124804639 1.06064771287782 1.03352827028036 1.24132234072007 0.846228576428164 0.704207229827392 0.787831663146595 0.742413241024288 0.842576084810351 1.05127632867274 0.842601498098038 0.914135696568292 1.37449799112022 1.33611938300034 1.35578418895244 1.43635567628606 1.36947349929225 1.05496808246744 1.05563125845907
"Caeiro_1" 1.66522743828295 1.44499449548004 1.45662374538722 0 0.266615865485702 0.294328791196238 0.934894340504574 1.13856834985263 1.06348653320839 0.827248277599886 1.19436359949029 1.20715449534393 1.27282902216909 1.30158750835073 1.4208433799814 1.37612600272755 1.47342984579436 1.46215203143438 1.28420139342269 1.23542956626962 1.49407205154258 1.12084383646581 1.10819602230101 1.01256902271361 1.04788474989783 1.03923542594502 1.14807283122657 1.15498422642
"Caeiro_2" 1.62875615811388 1.44240266024181 1.43760799157613 0.266615865485702 0 0.281017870951368 0.938976896274151 1.16508735241823 1.08542755590337 0.866123581466639 1.21648092984272 1.24119698396238 1.27948847799379 1.31921619165335 1.43297086933966 1.37946130391256 1.4305285117228 1.43451332512396 1.31381719181787 1.24823453389054 1.47710354763759 1.14967597201769 1.11273855562967 1.03591980785988 1.08645764936082 1.06055300881572 1.09526432733889 1.10828231690841
"Caeiro_3" 1.62406112828637 1.42910037804933 1.42339024904863 0.294328791196238 0.281017870951368 0 0.885144918870571 1.09444390790029 1.00809161430307 0.829387886570713 1.21188533999935 1.22253819741479 1.21836087148861 1.31645783877965 1.42350550040935 1.34845283914136 1.41472192745028 1.36907940417489 1.24295223522322 1.19734489495878 1.46723226600393 1.16205016394706 1.10108080817362 1.06032370655611 1.10223019829874 1.08123162257578 1.13099291673426 1.13221441660867
"Campos_1" 1.26857010006599 1.17568536829798 1.15801531502462 0.934894340504574 0.938976896274151 0.885144918870571 0 0.439790404305443 0.327685963357969 0.480288644467492 1.0277365967596 0.929836536057262 0.982717495825983 1.13808945371194 1.12198276581262 1.02968881756704 1.17052872042217 1.17325757270949 1.00328107348752 1.02834740111487 1.15712492537047 0.992713525639189 0.915783364315962 0.910576052305972 1.03372662301391 0.925015037644621 0.942757319158172 0.94045416448074
"Campos_2" 1.25630410593443 1.20109249031011 1.18802024356908 1.13856834985263 1.16508735241823 1.09444390790029 0.439790404305443 0 0.5777451429348 0.809480245708133 1.06350265024364 0.982189833413791 1.09383559304742 1.17005395068527 1.16785496886 1.08297147394581 1.10792651972454 1.12225177283881 1.02686483035104 1.01999864890087 1.16025396564513 1.1720441451162 1.06942636306833 1.10240548453407 1.22958212998502 1.1122089250279 1.09639608962825 1.07550288103379
"Campos_3" 1.36766368548664 1.20755369662933 1.20935385042653 1.06348653320839 1.08542755590337 1.00809161430307 0.327685963357969 0.5777451429348 0 0.627105088501834 1.13274675242779 1.04566636291846 1.14692877817727 1.21767638668419 1.19378970704948 1.10911901608595 1.21330074277347 1.19914460852954 1.11521322421027 1.09004428043338 1.28456294704604 1.1015572203459 1.06684079598598 1.05625829984737 1.15699247066293 1.06695166867664 1.04049286148245 1.05566121766611
"Campos_4" 1.47204481998743 1.33835530010175 1.34427124804639 0.827248277599886 0.866123581466639 0.829387886570713 0.480288644467492 0.809480245708133 0.627105088501834 0 1.096879703818 1.03156802562568 1.07799585456084 1.22193466616543 1.28031268995936 1.15130709247023 1.36938615657403 1.37116014616924 1.15971487634002 1.14331041793533 1.31447240153 0.881564754171749 0.840966437177209 0.775823213332071 0.866426941187832 0.783029487844732 0.935555144011232 0.919219589288845
"Drummond_1" 1.37510022853779 1.05004884283313 1.06064771287782 1.19436359949029 1.21648092984272 1.21188533999935 1.0277365967596 1.06350265024364 1.13274675242779 1.096879703818 0 0.52670887879448 1.17370612026195 0.914899517286827 1.10684856149627 0.999813536602258 1.1973956529524 1.12152353062117 1.07949499417815 1.05542000589833 1.0581053719199 1.20831199057832 1.1930200060939 1.17582107379384 1.25592525034426 1.20022723947245 1.0523479479281 1.04461315357868
