"Arriaga" "Assis_1" "Assis_2" "Caeiro" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5" "Pessoa_6"
"Arriaga" 0 0.910389809890077 0.917545857809265 1.47974558910761 1.14048967537541 1.14383316081766 1.20974062316188 0.981758018926619 0.846167307045884 0.934528686342833 0.843598646584354 0.941970005403954 1.05842376763091 1.00170058583735 0.991845127297812 1.36481799467058 1.26736694292903 1.27246720605326 1.36389840029235 1.33098349205526 1.39432858767209
"Assis_1" 0.910389809890077 0 0.686925307150835 1.36219433360448 0.977475080463028 0.996446967515083 1.06190095470801 0.907835639899242 0.846875322445925 0.931831503456913 0.831201436596369 0.903248632146504 0.910526610249688 0.928322159488649 0.953497330818638 1.18437894306859 1.08210761867765 1.08251209710142 1.2060618971437 1.11333924106544 1.19263748384259
"Assis_2" 0.917545857809265 0.686925307150835 0 1.30142875289402 0.953487729996176 0.998777414397551 1.17226494823917 0.886005898750917 0.842162175486487 0.870372226572382 0.787001733657455 0.853071690326569 0.952104123474228 0.886042271357209 0.966389180642185 1.24873994167598 1.14524272706916 1.14747246386422 1.25651816268814 1.20173953120937 1.30221952074419
"Caeiro" 1.47974558910761 1.36219433360448 1.30142875289402 0 1.16438289711347 1.18900706782965 1.39910730564043 1.34968357901191 1.35065807192181 1.34980943705694 1.42218892770762 1.39668158192043 1.38268944464113 1.29465910366375 1.45978133951464 1.23827177142119 1.08900968593549 1.0961621051187 1.15385394766177 1.15523953164637 1.22027006770743
"Drummond_1" 1.14048967537541 0.977475080463028 0.953487729996176 1.16438289711347 0 0.651037069462864 1.12012211074218 0.995657447137015 1.04749245382921 1.03839135231876 1.06086362840943 1.05791806807033 1.05210709701984 1.01556709231297 1.05113691069399 1.1636728351315 1.03003887187425 1.02927471729519 1.1647106531166 1.08042655912582 1.14532918361327
"Drummond_2" 1.14383316081766 0.996446967515083 0.998777414397551 1.18900706782965 0.651037069462864 0 1.14764267032064 1.03521132886644 1.05321335738491 1.05578502731088 1.08837967592446 1.08226460777964 1.0943025112817 1.06930740492719 1.11483150812885 1.18018516420033 1.04795360580851 1.05497737138717 1.16644002585197 1.0990191667985 1.16971886900517
"Espanca" 1.20974062316188 1.06190095470801 1.17226494823917 1.39910730564043 1.12012211074218 1.14764267032064 0 1.09465058265303 1.17200869752378 1.21096021679585 1.20339873620802 1.18601873562584 1.04446111646577 1.07466401935039 1.09748646481828 1.21434010671463 1.05861450147652 1.06511947982553 1.18494981384473 1.11864204336568 1.15835929220826
"Feijó" 0.981758018926619 0.907835639899242 0.886005898750917 1.34968357901191 0.995657447137015 1.03521132886644 1.09465058265303 0 0.910484330504919 0.955472924529087 0.928037184680978 0.982332853330677 1.00958204179245 0.960970163147512 0.964162565934985 1.23164844252733 1.10252276880003 1.10216907502666 1.21373477098844 1.12170864095658 1.21595309443397
"Junqueiro_1" 0.846167307045884 0.846875322445925 0.842162175486487 1.35065807192181 1.04749245382921 1.05321335738491 1.17200869752378 0.910484330504919 0 0.596101771769266 0.773592118196519 0.830043119251237 0.934661561952834 0.83980575197403 1.00482199438285 1.29720453440625 1.18202523291213 1.18637566751025 1.27899996702532 1.24061870257289 1.31126443963876
"Junqueiro_2" 0.934528686342833 0.931831503456913 0.870372226572382 1.34980943705694 1.03839135231876 1.05578502731088 1.21096021679585 0.955472924529087 0.596101771769266 0 0.808406862410547 0.871728898745627 0.938412043510291 0.839116661792245 1.03432306959496 1.27910949896586 1.18606155767869 1.18665185251935 1.2761852734124 1.20749117272232 1.31683773166961
"Leal_1" 0.843598646584354 0.831201436596369 0.787001733657455 1.42218892770762 1.06086362840943 1.08837967592446 1.20339873620802 0.928037184680978 0.773592118196519 0.808406862410547 0 0.603445458995018 0.909093612930175 0.896991541939205 0.984110840803844 1.37726668487492 1.26827403833709 1.27334780449142 1.34801011415856 1.30883713394055 1.38164970053358
"Leal_2" 0.941970005403954 0.903248632146504 0.853071690326569 1.39668158192043 1.05791806807033 1.08226460777964 1.18601873562584 0.982332853330677 0.830043119251237 0.871728898745627 0.603445458995018 0 0.880802677735887 0.856141957343924 1.02324719127295 1.34346420667556 1.24761134238845 1.25341773712082 1.33473872271638 1.32135886069113 1.3959526417812
"Nobre_1" 1.05842376763091 0.910526610249688 0.952104123474228 1.38268944464113 1.05210709701984 1.0943025112817 1.04446111646577 1.00958204179245 0.934661561952834 0.938412043510291 0.909093612930175 0.880802677735887 0 0.629211878426384 1.06432267857774 1.27056893336289 1.12663235973005 1.13204468490751 1.26393459163992 1.187382122499 1.2253578503523
"Nobre_2" 1.00170058583735 0.928322159488649 0.886042271357209 1.29465910366375 1.01556709231297 1.06930740492719 1.07466401935039 0.960970163147512 0.83980575197403 0.839116661792245 0.896991541939205 0.856141957343924 0.629211878426384 0 1.04974560063749 1.2874989548372 1.14483479915541 1.14724657249999 1.24386188957488 1.19080151386287 1.25946449364384
"Pascoaes" 0.991845127297812 0.953497330818638 0.966389180642185 1.45978133951464 1.05113691069399 1.11483150812885 1.09748646481828 0.964162565934985 1.00482199438285 1.03432306959496 0.984110840803844 1.02324719127295 1.06432267857774 1.04974560063749 0 1.31842997912662 1.22040993302049 1.22115483530885 1.31666013144545 1.27500584892599 1.35810675831404
"Pessoa_1" 1.36481799467058 1.18437894306859 1.24873994167598 1.23827177142119 1.1636728351315 1.18018516420033 1.21434010671463 1.23164844252733 1.29720453440625 1.27910949896586 1.37726668487492 1.34346420667556 1.27056893336289 1.2874989548372 1.31842997912662 0 0.519926610724557 0.514477174558437 0.760818382066265 0.787179226518233 0.756446448037312
"Pessoa_2" 1.26736694292903 1.08210761867765 1.14524272706916 1.08900968593549 1.03003887187425 1.04795360580851 1.05861450147652 1.10252276880003 1.18202523291213 1.18606155767869 1.26827403833709 1.24761134238845 1.12663235973005 1.14483479915541 1.22040993302049 0.519926610724557 0 0.0785294592072788 0.495323758986545 0.479945472095185 0.494322599181331
"Pessoa_3" 1.27246720605326 1.08251209710142 1.14747246386422 1.0961621051187 1.02927471729519 1.05497737138717 1.06511947982553 1.10216907502666 1.18637566751025 1.18665185251935 1.27334780449142 1.25341773712082 1.13204468490751 1.14724657249999 1.22115483530885 0.514477174558437 0.0785294592072788 0 0.494794557953293 0.478040720225739 0.490518357735318
"Pessoa_4" 1.36389840029235 1.2060618971437 1.25651816268814 1.15385394766177 1.1647106531166 1.16644002585197 1.18494981384473 1.21373477098844 1.27899996702532 1.2761852734124 1.34801011415856 1.33473872271638 1.26393459163992 1.24386188957488 1.31666013144545 0.760818382066265 0.495323758986545 0.494794557953293 0 0.730835143885092 0.802069584677513
"Pessoa_5" 1.33098349205526 1.11333924106544 1.20173953120937 1.15523953164637 1.08042655912582 1.0990191667985 1.11864204336568 1.12170864095658 1.24061870257289 1.20749117272232 1.30883713394055 1.32135886069113 1.187382122499 1.19080151386287 1.27500584892599 0.787179226518233 0.479945472095185 0.478040720225739 0.730835143885092 0 0.703225179566341
"Pessoa_6" 1.39432858767209 1.19263748384259 1.30221952074419 1.22027006770743 1.14532918361327 1.16971886900517 1.15835929220826 1.21595309443397 1.31126443963876 1.31683773166961 1.38164970053358 1.3959526417812 1.2253578503523 1.25946449364384 1.35810675831404 0.756446448037312 0.494322599181331 0.490518357735318 0.802069584677513 0.703225179566341 0
