"Arriaga" "Assis_1" "Assis_2" "Campos" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4"
"Arriaga" 0 0.907797835088485 1.01560178446896 1.29602239619625 1.41022103512978 1.37421994688254 1.29010733925988 1.13769759294229 0.961945253638741 1.10431653783267 0.966901582660532 1.00117664435797 1.21736602275977 1.03329179884265 1.0301517143454 1.55753393336655 1.60891483908406 1.46700016089153 1.5819387544119
"Assis_1" 0.907797835088485 0 0.636641095572333 1.17199549868759 1.06176053321787 0.987514898968402 1.04412659877633 0.892093705107458 0.833654643673105 0.915555935940239 0.830096226650749 0.869385667764098 0.955860775222362 0.883009713222262 0.910595726293113 1.24171924707942 1.32657014613798 1.21974924372421 1.24759386964902
"Assis_2" 1.01560178446896 0.636641095572333 0 1.13330717351823 1.11759009337921 1.06239940055654 1.26592677390675 0.835989051835623 0.788692326510655 0.848481734098102 0.75105112463134 0.86063687231176 1.07892315509189 0.865802573985603 1.01358678966243 1.3509771218565 1.44253437858645 1.31278690336074 1.38784050344699
"Campos" 1.29602239619625 1.17199549868759 1.13330717351823 0 1.02862200965004 0.949285328467574 0.996144182656637 1.1515882329318 1.18012018496947 1.0518133744445 1.20271322841044 1.20700373659703 1.05924741904671 1.0638862103321 1.2690548063476 0.94902587779914 1.06418072177688 0.840125781506048 0.948707758128304
"Drummond_1" 1.41022103512978 1.06176053321787 1.11759009337921 1.02862200965004 0 0.557309841210537 1.1968311683024 0.975130690418363 1.19186487366788 1.05399731591018 1.24133619421637 1.20613334195156 1.14976520618106 1.10171416207717 1.14516835343556 1.15380684763041 1.29055625445839 1.15828938917425 1.14210513162351
"Drummond_2" 1.37421994688254 0.987514898968402 1.06239940055654 0.949285328467574 0.557309841210537 0 1.17890182258611 0.998036186871223 1.13096735401483 1.00259689907806 1.12841216537364 1.13169138564517 1.09415448580318 1.10443083660057 1.18909630614905 1.16541853298021 1.24522115863444 1.13891874810336 1.09898556329459
"Espanca" 1.29010733925988 1.04412659877633 1.26592677390675 0.996144182656637 1.1968311683024 1.17890182258611 0 1.22913284733903 1.37234264451271 1.34371003012935 1.29292376291068 1.20667832857206 0.990325720596106 1.13865312212789 0.974440349552679 1.19890216555421 1.20254172237921 1.08707336028505 1.09636358845862
"Feijó" 1.13769759294229 0.892093705107458 0.835989051835623 1.1515882329318 0.975130690418363 0.998036186871223 1.22913284733903 0 0.970706952478228 0.97918786941145 0.921658645668514 1.01032976718772 1.11568072870029 1.03309937009428 1.02569061383668 1.25983993831574 1.31951690321183 1.2719551893013 1.26587196479185
"Junqueiro_1" 0.961945253638741 0.833654643673105 0.788692326510655 1.18012018496947 1.19186487366788 1.13096735401483 1.37234264451271 0.970706952478228 0 0.594155130056487 0.805414555614342 0.939356138154171 1.16292012565369 0.892899087719265 1.13588036797948 1.43938943098951 1.54360856564055 1.38311617634638 1.38677083264407
"Junqueiro_2" 1.10431653783267 0.915555935940239 0.848481734098102 1.0518133744445 1.05399731591018 1.00259689907806 1.34371003012935 0.97918786941145 0.594155130056487 0 0.824834761334074 0.879978753747697 1.08046950714356 0.814526664623171 1.15235457909156 1.30425798775698 1.41673290809006 1.2814225131298 1.29275573171123
"Leal_1" 0.966901582660532 0.830096226650749 0.75105112463134 1.20271322841044 1.24133619421637 1.12841216537364 1.29292376291068 0.921658645668514 0.805414555614342 0.824834761334074 0 0.577145330461641 1.02911579072832 0.933326215457284 1.04623974793411 1.43889571321568 1.54971391111919 1.41590922332254 1.46550119145202
"Leal_2" 1.00117664435797 0.869385667764098 0.86063687231176 1.20700373659703 1.20613334195156 1.13169138564517 1.20667832857206 1.01032976718772 0.939356138154171 0.879978753747697 0.577145330461641 0 0.889731855617119 0.794718155172648 1.06839715042812 1.42364232741246 1.47636556106963 1.39296414650299 1.35500558632487
"Nobre_1" 1.21736602275977 0.955860775222362 1.07892315509189 1.05924741904671 1.14976520618106 1.09415448580318 0.990325720596106 1.11568072870029 1.16292012565369 1.08046950714356 1.02911579072832 0.889731855617119 0 0.620519607957963 1.12579485563872 1.23223305806968 1.27816307673413 1.16556228921609 1.20181822550252
"Nobre_2" 1.03329179884265 0.883009713222262 0.865802573985603 1.0638862103321 1.10171416207717 1.10443083660057 1.13865312212789 1.03309937009428 0.892899087719265 0.814526664623171 0.933326215457284 0.794718155172648 0.620519607957963 0 1.09208214857497 1.26968879637812 1.36239524061611 1.19076362958185 1.19920677631708
"Pascoaes" 1.0301517143454 0.910595726293113 1.01358678966243 1.2690548063476 1.14516835343556 1.18909630614905 0.974440349552679 1.02569061383668 1.13588036797948 1.15235457909156 1.04623974793411 1.06839715042812 1.12579485563872 1.09208214857497 0 1.38309878491557 1.48083348041087 1.35422616498061 1.39776930660778
"Pessoa_1" 1.55753393336655 1.24171924707942 1.3509771218565 0.94902587779914 1.15380684763041 1.16541853298021 1.19890216555421 1.25983993831574 1.43938943098951 1.30425798775698 1.43889571321568 1.42364232741246 1.23223305806968 1.26968879637812 1.38309878491557 0 0.615919386001121 0.586089672997487 0.514690415627121
"Pessoa_2" 1.60891483908406 1.32657014613798 1.44253437858645 1.06418072177688 1.29055625445839 1.24522115863444 1.20254172237921 1.31951690321183 1.54360856564055 1.41673290809006 1.54971391111919 1.47636556106963 1.27816307673413 1.36239524061611 1.48083348041087 0.615919386001121 0 0.600040002015864 0.608060204638541
"Pessoa_3" 1.46700016089153 1.21974924372421 1.31278690336074 0.840125781506048 1.15828938917425 1.13891874810336 1.08707336028505 1.2719551893013 1.38311617634638 1.2814225131298 1.41590922332254 1.39296414650299 1.16556228921609 1.19076362958185 1.35422616498061 0.586089672997487 0.600040002015864 0 0.536664470326034
"Pessoa_4" 1.5819387544119 1.24759386964902 1.38784050344699 0.948707758128304 1.14210513162351 1.09898556329459 1.09636358845862 1.26587196479185 1.38677083264407 1.29275573171123 1.46550119145202 1.35500558632487 1.20181822550252 1.19920677631708 1.39776930660778 0.514690415627121 0.608060204638541 0.536664470326034 0
