"Arriaga" "Assis_1" "Assis_2" "Campos" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5"
"Arriaga" 0 0.925846497872181 1.019083872803 1.33344247495105 1.38948516514142 1.35136433979143 1.26404535170883 1.10912935934688 0.941860552223057 1.07225106016829 0.946868435296241 0.989375335721528 1.20542897384673 1.0198129340528 1.00868793161709 1.62958987326523 1.53894289890332 1.6264725351671 1.4792960051866 1.49609452667819
"Assis_1" 0.925846497872181 0 0.64447864308863 1.24371943439024 1.04877744728155 0.992266543483224 1.04003512216666 0.90895253956362 0.797024907006263 0.876065521452486 0.82796536523406 0.87007505298257 0.947659641941091 0.846218340071013 0.905074342820449 1.30922309683426 1.27806857250313 1.31777166850835 1.18267770190701 1.19610003811986
"Assis_2" 1.019083872803 0.64447864308863 0 1.20918931288726 1.06309888833568 1.02655039269935 1.27336473268313 0.846408731416214 0.718168204336013 0.80063863534095 0.752273828482857 0.844660467924485 1.06276702120367 0.838119738868846 0.998670425981401 1.4603052257039 1.3850978149639 1.42797348031231 1.332507485578 1.3425807916985
"Campos" 1.33344247495105 1.24371943439024 1.20918931288726 0 1.10566506741774 1.01857648080403 1.07666787084167 1.18063191805222 1.19941120277934 1.08843893984872 1.23396448777855 1.22945133179854 1.07175531644135 1.06930626024409 1.31890822619482 1.1416326463127 0.989125868244226 1.11849626526059 0.971341577353433 0.980263784443891
"Drummond_1" 1.38948516514142 1.04877744728155 1.06309888833568 1.10566506741774 0 0.545127691618433 1.21935776588428 0.945562541953953 1.11275020740332 1.00163019199259 1.19691754530444 1.14805035585208 1.10129025888383 1.06095857365308 1.12000588910287 1.28112763512792 1.34061975624538 1.28080214057131 1.18923976681739 1.20668980263845
"Drummond_2" 1.35136433979143 0.992266543483224 1.02655039269935 1.01857648080403 0.545127691618433 0 1.20328982041136 0.960188826851541 1.06352413313294 0.935638680635288 1.08264807071958 1.0964071544096 1.06402868214836 1.04055712827603 1.17185402242736 1.25922979540328 1.31886921483528 1.23827086462895 1.13228864947845 1.14961572838368
"Espanca" 1.26404535170883 1.04003512216666 1.27336473268313 1.07666787084167 1.21935776588428 1.20328982041136 0 1.23370173756151 1.32795133941221 1.31483236349156 1.30610470891892 1.19013886417988 0.973818859115945 1.06556218456254 0.986489262349362 1.27494477268283 1.13313066520674 1.22418699019301 1.06454985970636 1.06171553963423
"Feijó" 1.10912935934688 0.90895253956362 0.846408731416214 1.18063191805222 0.945562541953953 0.960188826851541 1.23370173756151 0 0.927115179486846 0.987838461047126 0.931825153968229 0.987105205466685 1.1197835399082 1.011093896946 1.02436372542579 1.34107532822408 1.2981615338669 1.34553283995463 1.23048765202119 1.22905497444006
"Junqueiro_1" 0.941860552223057 0.797024907006263 0.718168204336013 1.19941120277934 1.11275020740332 1.06352413313294 1.32795133941221 0.927115179486846 0 0.542793056852578 0.743974614649808 0.880555848155544 1.11157457040327 0.856270800457339 1.07428003110217 1.52860261564989 1.4810114142079 1.4764138512753 1.36485333308891 1.38009896231491
"Junqueiro_2" 1.07225106016829 0.876065521452486 0.80063863534095 1.08843893984872 1.00163019199259 0.935638680635288 1.31483236349156 0.987838461047126 0.542793056852578 0 0.770920983759198 0.81591211457777 1.03515385829054 0.783415487564553 1.09792140852863 1.37258468449878 1.38121130147172 1.35136697796619 1.25740013833678 1.27868653169256
"Leal_1" 0.946868435296241 0.82796536523406 0.752273828482857 1.23396448777855 1.19691754530444 1.08264807071958 1.30610470891892 0.931825153968229 0.743974614649808 0.770920983759198 0 0.528716536437422 1.00507723991858 0.90543730456014 1.03500600537883 1.55927856597176 1.4866016526617 1.51735625944828 1.39139225380027 1.39827925435052
"Leal_2" 0.989375335721528 0.87007505298257 0.844660467924485 1.22945133179854 1.14805035585208 1.0964071544096 1.19013886417988 0.987105205466685 0.880555848155544 0.81591211457777 0.528716536437422 0 0.857900655420055 0.760493081364473 1.03460498218529 1.51160869762132 1.49135060358395 1.41856293451222 1.33913123446671 1.34977708346678
"Nobre_1" 1.20542897384673 0.947659641941091 1.06276702120367 1.07175531644135 1.10129025888383 1.06402868214836 0.973818859115945 1.1197835399082 1.11157457040327 1.03515385829054 1.00507723991858 0.857900655420055 0 0.622159937110334 1.1021549802593 1.27229086684537 1.19523274772375 1.25958373221075 1.11705969874083 1.13135061688284
