"Arriaga" "Assis_1" "Assis_2" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Reis"
"Arriaga" 0 0.939206225260162 1.04335869059405 1.44823422064848 1.37264005030749 1.29580307672511 1.14936718007293 0.973166166128482 1.13983783061609 1.0114030862269 1.05695422403334 1.22271721017113 1.04945565090451 1.06555565220439 1.57520799328241 1.58172909018637 1.45219822220959 1.5732358367776 1.30247259825457
"Assis_1" 0.939206225260162 0 0.653554736533144 1.07294507436691 0.991059679393394 1.02509334075765 0.907524103800439 0.844188445917803 0.903839310649723 0.828913787078995 0.909072648610196 0.967775177969744 0.908021128302346 0.963534121783605 1.22227801682694 1.27514711190987 1.20106538098728 1.19218864156855 1.18152405700519
"Assis_2" 1.04335869059405 0.653554736533144 0 1.11764039376468 1.06392335640923 1.27986505695516 0.836848980155314 0.769158661750651 0.833940931993261 0.7651402443801 0.861990262428051 1.07140865991589 0.871299821647073 1.05474842480846 1.33561429305373 1.39134249203733 1.2871127768523 1.33146934469309 1.09048771703848
"Drummond_1" 1.44823422064848 1.07294507436691 1.11764039376468 0 0.566208364923261 1.22363463914744 0.957505039590453 1.15864422982974 1.04718078075374 1.24663351054771 1.21213886337239 1.12251171172571 1.06516056673092 1.14827824430346 1.15100479545983 1.24616902219199 1.15055445977903 1.12522624033105 1.0409929092391
"Drummond_2" 1.37264005030749 0.991059679393394 1.06392335640923 0.566208364923261 0 1.17071201189318 0.997416468846157 1.12240998048092 0.994649956147958 1.14663921840969 1.16043560852524 1.08897200070104 1.10388080280662 1.18337302022686 1.14969883993004 1.18235708083691 1.10082875114886 1.0844675974451 1.01652359037167
"Espanca" 1.29580307672511 1.02509334075765 1.27986505695516 1.22363463914744 1.17071201189318 0 1.22312145766314 1.3491946893541 1.33692563238999 1.31919489902681 1.24330502209473 1.0117684825475 1.16664865877936 0.996455520002509 1.19356118895489 1.17580689454761 1.08492020986762 1.06601830403332 1.29116463343671
"Feijó" 1.14936718007293 0.907524103800439 0.836848980155314 0.957505039590453 0.997416468846157 1.22312145766314 0 0.955378882808859 1.00115529917126 0.91432054297165 0.993315657079725 1.09643021475264 1.01972692225361 1.0245589182503 1.2258285605556 1.26111554254397 1.23095583023946 1.20007319735137 1.18148542353306
"Junqueiro_1" 0.973166166128482 0.844188445917803 0.769158661750651 1.15864422982974 1.12240998048092 1.3491946893541 0.955378882808859 0 0.559749822750414 0.818994758143365 0.947457513797476 1.13347052777016 0.870094313084485 1.17184916904143 1.38836934397288 1.45760489677 1.32282831097066 1.33576590150371 1.16886640296394
"Junqueiro_2" 1.13983783061609 0.903839310649723 0.833940931993261 1.04718078075374 0.994649956147958 1.33692563238999 1.00115529917126 0.559749822750414 0 0.852605358175504 0.892951118634876 1.05937979019569 0.808163602048943 1.19655075514667 1.24605910377334 1.3338098851566 1.22984224488086 1.20301672204004 1.09589553796674
"Leal_1" 1.0114030862269 0.828913787078995 0.7651402443801 1.24663351054771 1.14663921840969 1.31919489902681 0.91432054297165 0.818994758143365 0.852605358175504 0 0.591418783053904 1.02215301315158 0.936872849721424 1.06122676364594 1.41325283764998 1.51326136811369 1.40745286732155 1.42131203020647 1.13280326335339
"Leal_2" 1.05695422403334 0.909072648610196 0.861990262428051 1.21213886337239 1.16043560852524 1.24330502209473 0.993315657079725 0.947457513797476 0.892951118634876 0.591418783053904 0 0.891541030554644 0.793739693725357 1.10468234754123 1.41919617364906 1.43411426236204 1.39490854416857 1.33563022869578 1.16752952446651
"Nobre_1" 1.22271721017113 0.967775177969744 1.07140865991589 1.12251171172571 1.08897200070104 1.0117684825475 1.09643021475264 1.13347052777016 1.05937979019569 1.02215301315158 0.891541030554644 0 0.617441662244011 1.12898183350868 1.23920066630572 1.24616863579249 1.16584064231913 1.18206787968088 1.17035255083558
"Nobre_2" 1.04945565090451 0.908021128302346 0.871299821647073 1.06516056673092 1.10388080280662 1.16664865877936 1.01972692225361 0.870094313084485 0.808163602048943 0.936872849721424 0.793739693725357 0.617441662244011 0 1.09090906262294 1.2735524231716 1.32707199711414 1.17320429939933 1.17108284844002 1.10332859968975
"Pascoaes" 1.06555565220439 0.963534121783605 1.05474842480846 1.14827824430346 1.18337302022686 0.996455520002509 1.0245589182503 1.17184916904143 1.19655075514667 1.06122676364594 1.10468234754123 1.12898183350868 1.09090906262294 0 1.38966696425058 1.45597166276726 1.33033777389685 1.37743223460768 1.36766094247282
"Pessoa_1" 1.57520799328241 1.22227801682694 1.33561429305373 1.15100479545983 1.14969883993004 1.19356118895489 1.2258285605556 1.38836934397288 1.24605910377334 1.41325283764998 1.41919617364906 1.23920066630572 1.2735524231716 1.38966696425058 0 0.616376884792827 0.590157536626361 0.508747631913833 1.07866710153122
"Pessoa_2" 1.58172909018637 1.27514711190987 1.39134249203733 1.24616902219199 1.18235708083691 1.17580689454761 1.26111554254397 1.45760489677 1.3338098851566 1.51326136811369 1.43411426236204 1.24616863579249 1.32707199711414 1.45597166276726 0.616376884792827 0 0.576508704050031 0.558844834825482 1.11596620735257
"Pessoa_3" 1.45219822220959 1.20106538098728 1.2871127768523 1.15055445977903 1.10082875114886 1.08492020986762 1.23095583023946 1.32282831097066 1.22984224488086 1.40745286732155 1.39490854416857 1.16584064231913 1.17320429939933 1.33033777389685 0.590157536626361 0.576508704050031 0 0.527109597129771 1.0167141402671
"Pessoa_4" 1.5732358367776 1.19218864156855 1.33146934469309 1.12522624033105 1.0844675974451 1.06601830403332 1.20007319735137 1.33576590150371 1.20301672204004 1.42131203020647 1.33563022869578 1.18206787968088 1.17108284844002 1.37743223460768 0.508747631913833 0.558844834825482 0.527109597129771 0 1.08954028523425
"Reis" 1.30247259825457 1.18152405700519 1.09048771703848 1.0409929092391 1.01652359037167 1.29116463343671 1.18148542353306 1.16886640296394 1.09589553796674 1.13280326335339 1.16752952446651 1.17035255083558 1.10332859968975 1.36766094247282 1.07866710153122 1.11596620735257 1.0167141402671 1.08954028523425 0
