Source,Target,Weight,Type
Ajar_GrosCalin.1974,Ajar_LangoisseDuRoiSalomon.1979,18,undirected
Ajar_GrosCalin.1974,Ajar_LaVieDevantSoi.1975,21,undirected
Ajar_GrosCalin.1974,Ajar_Pseudo.1976,108,undirected
Ajar_GrosCalin.1974,Gary_Au-DelàDeCetteLimite.1975,36,undirected
Ajar_LangoisseDuRoiSalomon.1979,Ajar_GrosCalin.1974,18,undirected
Ajar_LangoisseDuRoiSalomon.1979,Ajar_LaVieDevantSoi.1975,108,undirected
Ajar_LangoisseDuRoiSalomon.1979,Ajar_Pseudo.1976,49,undirected
Ajar_LangoisseDuRoiSalomon.1979,Gary_Au-DelàDeCetteLimite.1975,23,undirected
Ajar_LaVieDevantSoi.1975,Ajar_GrosCalin.1974,21,undirected
Ajar_LaVieDevantSoi.1975,Ajar_LangoisseDuRoiSalomon.1979,108,undirected
Ajar_LaVieDevantSoi.1975,Ajar_Pseudo.1976,33,undirected
Ajar_Pseudo.1976,Ajar_GrosCalin.1974,108,undirected
Ajar_Pseudo.1976,Ajar_LangoisseDuRoiSalomon.1979,49,undirected
Ajar_Pseudo.1976,Ajar_LaVieDevantSoi.1975,33,undirected
Ajar_Pseudo.1976,Gary_Au-DelàDeCetteLimite.1975,82,undirected
Bogat_LesTêtesDeStphanie.1974,Gary_LaPromesseDlAube.1960,1,undirected
Bogat_LesTêtesDeStphanie.1974,Gary_LeGrandVestiaire.1949,19,undirected
Bogat_LesTêtesDeStphanie.1974,Gary_LesClownsLyriques.1979,69,undirected
Bogat_LesTêtesDeStphanie.1974,Gary_LesEnchanteurs.1973,52,undirected
Bogat_LesTêtesDeStphanie.1974,Gary_LesRacinesDuCiel.1956,86,undirected
Bogat_LesTêtesDeStphanie.1974,Sinibaldi_LHommeLaColombe.1958,67,undirected
Gary_Au-DelàDeCetteLimite.1975,Ajar_GrosCalin.1974,36,undirected
Gary_Au-DelàDeCetteLimite.1975,Ajar_LangoisseDuRoiSalomon.1979,23,undirected
Gary_Au-DelàDeCetteLimite.1975,Ajar_Pseudo.1976,82,undirected
Gary_Au-DelàDeCetteLimite.1975,Gary_LaPromesseDlAube.1960,35,undirected
Gary_Au-DelàDeCetteLimite.1975,Gary_LeGrandVestiaire.1949,34,undirected
Gary_Au-DelàDeCetteLimite.1975,Gary_LesClownsLyriques.1979,38,undirected
Gary_LaPromesseDlAube.1960,Bogat_LesTêtesDeStphanie.1974,1,undirected
Gary_LaPromesseDlAube.1960,Gary_Au-DelàDeCetteLimite.1975,35,undirected
Gary_LaPromesseDlAube.1960,Gary_LeGrandVestiaire.1949,12,undirected
Gary_LaPromesseDlAube.1960,Gary_LesClownsLyriques.1979,7,undirected
Gary_LaPromesseDlAube.1960,Gary_LesEnchanteurs.1973,100,undirected
Gary_LaPromesseDlAube.1960,Gary_LesRacinesDuCiel.1956,40,undirected
Gary_LeGrandVestiaire.1949,Bogat_LesTêtesDeStphanie.1974,19,undirected
Gary_LeGrandVestiaire.1949,Gary_Au-DelàDeCetteLimite.1975,34,undirected
Gary_LeGrandVestiaire.1949,Gary_LaPromesseDlAube.1960,12,undirected
Gary_LeGrandVestiaire.1949,Gary_LesClownsLyriques.1979,71,undirected
Gary_LeGrandVestiaire.1949,Gary_LesRacinesDuCiel.1956,3,undirected
Gary_LesClownsLyriques.1979,Bogat_LesTêtesDeStphanie.1974,69,undirected
Gary_LesClownsLyriques.1979,Gary_Au-DelàDeCetteLimite.1975,38,undirected
Gary_LesClownsLyriques.1979,Gary_LaPromesseDlAube.1960,7,undirected
Gary_LesClownsLyriques.1979,Gary_LeGrandVestiaire.1949,71,undirected
Gary_LesClownsLyriques.1979,Gary_LesRacinesDuCiel.1956,108,undirected
Gary_LesClownsLyriques.1979,Sinibaldi_LHommeLaColombe.1958,31,undirected
Gary_LesEnchanteurs.1973,Bogat_LesTêtesDeStphanie.1974,52,undirected
Gary_LesEnchanteurs.1973,Gary_LaPromesseDlAube.1960,100,undirected
Gary_LesEnchanteurs.1973,Gary_LesRacinesDuCiel.1956,22,undirected
Gary_LesEnchanteurs.1973,Sinibaldi_LHommeLaColombe.1958,4,undirected
Gary_LesRacinesDuCiel.1956,Bogat_LesTêtesDeStphanie.1974,86,undirected
Gary_LesRacinesDuCiel.1956,Gary_LaPromesseDlAube.1960,40,undirected
Gary_LesRacinesDuCiel.1956,Gary_LeGrandVestiaire.1949,3,undirected
Gary_LesRacinesDuCiel.1956,Gary_LesClownsLyriques.1979,108,undirected
Gary_LesRacinesDuCiel.1956,Gary_LesEnchanteurs.1973,22,undirected
Gary_LesRacinesDuCiel.1956,Sinibaldi_LHommeLaColombe.1958,19,undirected
Sinibaldi_LHommeLaColombe.1958,Bogat_LesTêtesDeStphanie.1974,67,undirected
Sinibaldi_LHommeLaColombe.1958,Gary_LesClownsLyriques.1979,31,undirected
Sinibaldi_LHommeLaColombe.1958,Gary_LesEnchanteurs.1973,4,undirected
Sinibaldi_LHommeLaColombe.1958,Gary_LesRacinesDuCiel.1956,19,undirected
