Source,Target,Weight,Type
Ajar_GrosCalin.1974,Gary_Au-DelàDeCetteLimite.1975,4,undirected
Ajar_GrosCalin.1974,Gary_LaPromesseDlAube.1960,1,undirected
Ajar_GrosCalin.1974,Gary_LesClownsLyriques.1979,2,undirected
Gary_Au-DelàDeCetteLimite.1975,Ajar_GrosCalin.1974,4,undirected
Gary_Au-DelàDeCetteLimite.1975,Gary_LaPromesseDlAube.1960,4,undirected
Gary_Au-DelàDeCetteLimite.1975,Gary_LesClownsLyriques.1979,5,undirected
Gary_Au-DelàDeCetteLimite.1975,Gary_LesRacinesDuCiel.1956,1,undirected
Gary_LaPromesseDlAube.1960,Ajar_GrosCalin.1974,1,undirected
Gary_LaPromesseDlAube.1960,Gary_Au-DelàDeCetteLimite.1975,4,undirected
Gary_LaPromesseDlAube.1960,Gary_LesEnchanteurs.1973,6,undirected
Gary_LaPromesseDlAube.1960,Gary_LesRacinesDuCiel.1956,1,undirected
Gary_LesClownsLyriques.1979,Ajar_GrosCalin.1974,2,undirected
Gary_LesClownsLyriques.1979,Gary_Au-DelàDeCetteLimite.1975,5,undirected
Gary_LesClownsLyriques.1979,Gary_LesEnchanteurs.1973,2,undirected
Gary_LesClownsLyriques.1979,Gary_LesRacinesDuCiel.1956,6,undirected
Gary_LesClownsLyriques.1979,SchwarzBart_LeDernierDesJustes.1959,1,undirected
Gary_LesClownsLyriques.1979,Vailland_LesMauvaisCoups.1948,2,undirected
Gary_LesEnchanteurs.1973,Gary_LaPromesseDlAube.1960,6,undirected
Gary_LesEnchanteurs.1973,Gary_LesClownsLyriques.1979,2,undirected
Gary_LesEnchanteurs.1973,Gary_LesRacinesDuCiel.1956,4,undirected
Gary_LesEnchanteurs.1973,SchwarzBart_LaMulatresse-Solitude.1972,1,undirected
Gary_LesRacinesDuCiel.1956,Gary_Au-DelàDeCetteLimite.1975,1,undirected
Gary_LesRacinesDuCiel.1956,Gary_LaPromesseDlAube.1960,1,undirected
Gary_LesRacinesDuCiel.1956,Gary_LesClownsLyriques.1979,6,undirected
Gary_LesRacinesDuCiel.1956,Gary_LesEnchanteurs.1973,4,undirected
Gary_LesRacinesDuCiel.1956,Vailland_LaLoi.1957,1,undirected
SchwarzBart_LaMulatresse-Solitude.1972,Gary_LesEnchanteurs.1973,1,undirected
SchwarzBart_LaMulatresse-Solitude.1972,SchwarzBart_LeDernierDesJustes.1959,6,undirected
SchwarzBart_LaMulatresse-Solitude.1972,Vailland_LaLoi.1957,2,undirected
SchwarzBart_LeDernierDesJustes.1959,Gary_LesClownsLyriques.1979,1,undirected
SchwarzBart_LeDernierDesJustes.1959,SchwarzBart_LaMulatresse-Solitude.1972,6,undirected
SchwarzBart_LeDernierDesJustes.1959,Vailland_LaLoi.1957,4,undirected
SchwarzBart_LeDernierDesJustes.1959,Vailland_LesMauvaisCoups.1948,1,undirected
Vailland_LaLoi.1957,Gary_LesRacinesDuCiel.1956,1,undirected
Vailland_LaLoi.1957,SchwarzBart_LaMulatresse-Solitude.1972,2,undirected
Vailland_LaLoi.1957,SchwarzBart_LeDernierDesJustes.1959,4,undirected
Vailland_LaLoi.1957,Vailland_LesMauvaisCoups.1948,6,undirected
Vailland_LesMauvaisCoups.1948,Gary_LesClownsLyriques.1979,2,undirected
Vailland_LesMauvaisCoups.1948,SchwarzBart_LeDernierDesJustes.1959,1,undirected
Vailland_LesMauvaisCoups.1948,Vailland_LaLoi.1957,6,undirected
