"Ajar_GrosCalin.1974" "Gary_Au-DelàDeCetteLimite.1975" "Gary_LaPromesseDlAube.1960" "Gary_LesClownsLyriques.1979" "Gary_LesEnchanteurs.1973" "Gary_LesRacinesDuCiel.1956" "SchwarzBart_LaMulatresse-Solitude.1972" "SchwarzBart_LeDernierDesJustes.1959" "Vailland_LaLoi.1957" "Vailland_LesMauvaisCoups.1948"
"Ajar_GrosCalin.1974" 0 0.963567556788894 1.06898465959791 1.03574168435048 1.222117482766 1.07842888579087 1.6123346116834 1.37037960781121 1.32827595321663 1.28759333143294
"Gary_Au-DelàDeCetteLimite.1975" 0.963567556788894 0 0.8796629888689 0.855109727682967 1.0326333263977 0.964208964557114 1.50774227876775 1.21706024210037 1.20455882617735 1.05349766442006
"Gary_LaPromesseDlAube.1960" 1.06898465959791 0.8796629888689 0 0.869129495504297 0.783474547090114 0.852060940387044 1.28438300962862 1.10089218229158 1.15040968198181 1.14976841229361
"Gary_LesClownsLyriques.1979" 1.03574168435048 0.855109727682967 0.869129495504297 0 0.965222825602742 0.719732511916753 1.25112119151824 1.03792372233681 1.09641674669327 1.09230105993529
"Gary_LesEnchanteurs.1973" 1.222117482766 1.0326333263977 0.783474547090114 0.965222825602742 0 0.904690364302771 1.18500378713691 1.0437534816434 1.18316930010276 1.22719663227021
"Gary_LesRacinesDuCiel.1956" 1.07842888579087 0.964208964557114 0.852060940387044 0.719732511916753 0.904690364302771 0 1.30472651862094 1.13827954759212 1.1876794533364 1.18967872943105
"SchwarzBart_LaMulatresse-Solitude.1972" 1.6123346116834 1.50774227876775 1.28438300962862 1.25112119151824 1.18500378713691 1.30472651862094 0 0.89280334211852 1.2268402574187 1.39324347885185
"SchwarzBart_LeDernierDesJustes.1959" 1.37037960781121 1.21706024210037 1.10089218229158 1.03792372233681 1.0437534816434 1.13827954759212 0.89280334211852 0 1.03391854386706 1.1305706000044
"Vailland_LaLoi.1957" 1.32827595321663 1.20455882617735 1.15040968198181 1.09641674669327 1.18316930010276 1.1876794533364 1.2268402574187 1.03391854386706 0 0.845188911139084
"Vailland_LesMauvaisCoups.1948" 1.28759333143294 1.05349766442006 1.14976841229361 1.09230105993529 1.22719663227021 1.18967872943105 1.39324347885185 1.1305706000044 0.845188911139084 0
