"Ajar_GrosCalin.1974" "Gary_Au-DelàDeCetteLimite.1975" "Gary_LaPromesseDlAube.1960" "Gary_LesClownsLyriques.1979" "Gary_LesEnchanteurs.1973" "Gary_LesRacinesDuCiel.1956" "SchwarzBart_LaMulatresse-Solitude.1972" "SchwarzBart_LeDernierDesJustes.1959" "Vailland_LaLoi.1957" "Vailland_LesMauvaisCoups.1948"
"de" 3.58380628074158 3.95627453634764 4.31770892777188 4.05580600489113 4.63193338641189 4.13726008446601 4.77716650683894 4.25554583158936 4.39390997452971 3.36684469577966
"la" 1.75104048429815 2.07966698253689 2.28001018410402 2.48681457909779 2.47727574309979 2.13639405476232 3.04850350779791 2.62242684829344 3.38880449556269 2.85370195832024
"et" 2.50170261066969 2.50947610667389 2.78570362501427 2.53101152066944 2.74930334394904 2.16394954533441 2.788573159037 2.22898672044443 1.63672289927244 1.88763221279715
"à" 2.14150586454786 1.74800324895086 2.30547044414985 1.94761189192375 2.0692343418259 1.97837175168566 1.91036188361177 1.80662836269548 2.14270213470698 1.83788878416588
"le" 1.56942867953084 1.38588060105591 1.80592258325066 2.03600577506703 1.81379378980892 1.84396844052794 1.72109221218392 2.17571629694456 2.67951983370073 2.34055922086082
"il" 1.69353007945516 1.72431298226614 0.937639921687752 2.68864727894163 1.48205281316348 2.62002103214995 0.739413516378136 1.97024466344507 2.41682181078889 2.19394701015813
"l" 1.55883465758608 1.41803167727088 1.48459654267227 1.73104687822269 1.57908704883227 1.61002794914044 1.67566749104124 1.65518815874586 1.86744029330805 1.79338150591685
"les" 1.26522890654559 1.10498172465141 1.34675996242417 1.35537287486373 1.80218285562633 1.80629052484774 2.3040428001817 1.4793957611963 2.02163261110413 1.72531155094774
"un" 1.41354521377223 1.57540273453364 1.59170522286507 1.57930404549339 1.31535297239915 1.47168813932956 1.47630343713723 1.60267874129599 1.20498440944342 1.36663524976437
"d" 1.22587968217934 1.36388249627724 1.36256288245261 1.37747134564955 1.42731555201699 1.30523048199614 1.49901579770858 1.44286747079639 1.19470492159035 1.12315425699026
"que" 1.46651532349603 1.46202788682821 1.40470400252847 1.09755738236247 1.60562632696391 1.29285862908623 0.704083177711603 1.08899965754728 0.85548182243898 0.947743219185255
"je" 2.67574725690503 2.49932313523758 2.34673362422412 0.729249535932114 1.24983412951168 0.918891257036491 0.131226972189976 0.458125642098855 0.468287779973273 1.17551576081265
"une" 0.911085887249338 1.17774468661162 1.13693230204648 1.1270220100769 0.976147823779193 1.13314925515822 1.53686973199415 1.2412008675469 0.783525407467477 0.950361294376375
"en" 1.04578130911843 0.959455800731014 1.02631186184736 0.994431185361973 0.979465233545648 0.992560017545537 1.1154292636148 1.11182983904722 0.919443080191427 0.926798617656299
"des" 0.968596292092319 0.854541762555841 0.745371061341668 0.732195998703556 1.07898752653928 1.02405200677078 1.58734164437491 0.824930558197938 1.11817984535082 0.835165985967117
"dans" 0.92622020431328 0.753012048192771 1.01050894181892 0.829429270161172 0.902335456475584 0.76368073871209 0.89840004037753 0.831018606597922 1.06678240608546 0.774950256571369
"qu" 0.770336738554673 0.734398267226208 0.66108882118996 1.01358319337635 0.820229564755839 1.13989753856363 0.610710139807197 0.791446291998021 0.933149063995523 0.845638286731595
"qui" 0.823306848278471 0.700555029105185 0.625971221126748 0.964966557647544 0.996881634819533 0.949820889311281 1.13057083732903 0.759484037898101 0.722990645666054 0.740915279086815
"pas" 1.29398410896708 1.09482875321511 0.718154921292679 0.878045905889979 0.477707006369427 0.916641829234688 0.441629233331651 0.70393059624824 0.900026269802291 1.04199392606556
"ne" 0.909572455542944 1.02037362934886 0.683915261231048 0.847108046789829 0.807789278131635 0.74849710104992 0.474435976379145 0.733609832198166 0.722990645666054 0.916326316891821
"se" 0.511539916761256 0.521185867063761 0.462674380832814 0.873626211732815 0.701632165605096 0.732188749486849 1.0422449906627 1.12324492979719 0.759539935810309 0.691171850455545
"elle" 0.422247446083995 0.544876133748477 0.862137081551847 0.517104216388226 0.431263269639066 0.453822059013738 1.45863826780397 0.581408622198546 1.21183740134547 1.80908995706357
"du" 0.561483163072266 0.577027209963449 0.577684521039832 0.718936916232063 0.667628715498938 0.593286582725519 0.865593297330036 0.82797458239793 1.02109579340514 0.617865745104199
"est" 1.42262580401059 1.05252470556383 0.365223040657401 0.866260054804208 0.41384686836518 0.577540588112899 0.287689900570333 0.529660210798676 0.889746781949219 1.29332914441303
"pour" 0.856602345819145 0.651482333829701 0.63211680113781 0.671793511888977 0.637772027600849 0.80248336829319 0.312925856760713 0.413226285148967 0.585930807625096 0.636192271442036
"était" 0.570563753310632 0.582103695681603 0.589975681061956 0.745455081175049 0.682557059447983 0.886274553910349 0.557714631807399 0.362238879799094 0.43059632451201 0.489580060739344
"s" 0.417707150964813 0.397658047922025 0.388927420700069 0.608444562302955 0.539079087048832 0.58653829932011 0.855498914853884 0.911685247897721 0.695578678057862 0.709498376793381
"ce" 0.626560726447219 0.739474752944362 0.63036092113465 0.78670555997525 0.655188428874735 0.750746528851723 0.403775299046081 0.4398614968989 0.360924240174523 0.489580060739344
"n" 0.799091940976163 0.683633410044673 0.626849161128328 0.727776304546392 0.527468152866242 0.708007400617468 0.320496643617827 0.372892964499068 0.598494626112184 0.633574196250916
"au" 0.600832387438517 0.548260457560579 0.529397820952916 0.543622381331212 0.500099522292994 0.540987386333601 0.676323625902185 0.630113009398425 0.613342775233287 0.638810346633155
"sur" 0.375331063185774 0.392581562203872 0.625093281125168 0.467014349273697 0.453655785562633 0.567418163004786 0.764649472568516 0.67196834214832 0.684157024887782 0.586448842810765
"avait" 0.339008702232312 0.485650467036686 0.489012580880223 0.727776304546392 0.6286491507431 0.818791719856262 0.393680916569929 0.293748335299266 0.616769271184311 0.382238977903445
"son" 0.227014755959137 0.314742114525518 0.322203980579967 0.556881463802705 0.451167728237792 0.527490819522784 0.73436632514006 0.862219854647844 0.597352460795175 0.403183579432401
"plus" 0.420734014377601 0.595640990930012 0.543444860978201 0.53183653024544 0.626990445859873 0.54773566973901 0.348256195427245 0.428446406148929 0.432880655146026 0.46339930882815
"avec" 0.794551645856981 0.465344524164072 0.596999201074599 0.548042075488376 0.388136942675159 0.618030288545351 0.403775299046081 0.428446406148929 0.347218256370427 0.379620902712326
"lui" 0.278471433976542 0.267361581156085 0.29937754053888 0.589292554288577 0.339205148619958 0.643336351315634 0.360874173522435 0.506069023248735 0.611058444599271 0.450308932872552
"mais" 0.617480136208854 0.489034790848788 0.400340640720613 0.493532514216683 0.371549893842887 0.502747113702952 0.363397769141473 0.496936950648758 0.415748175390906 0.397947429050162
"me" 1.00491865304578 0.849465276837688 1.10971616199749 0.175314534900852 0.591328290870488 0.273867834869505 0.0353303386665321 0.111106883299722 0.0982262172626866 0.282752120640905
"c" 1.07150964812713 0.715784486259645 0.23967762043142 0.642328884174548 0.273686305732484 0.461132699369598 0.21450562761823 0.31581751074921 0.342649595102395 0.594303068384124
"vous" 0.691638289822172 0.707323676729389 0.188757100339763 0.770500014732314 0.149283439490446 0.698447332459806 0.131226972189976 0.356911837449108 0.229575228718605 0.466017384019269
"j" 1.18804388951949 0.819006362528767 0.855991501540785 0.244556410029759 0.442874203821656 0.309296322747901 0.022712360571342 0.114150907499715 0.127922515504894 0.413655880196879
"on" 0.699205448354143 0.434885609855151 0.266893760480409 0.503845133916733 0.447850318471338 0.481939906536275 0.532478675617019 0.353106807199117 0.386051877148698 0.311550947743219
"sa" 0.133181990162694 0.174292676323271 0.27040552048673 0.319691210701553 0.353304140127389 0.415019429432638 0.565285418664513 0.615653894448461 0.486562425045401 0.277515970258666
