"Ajar_LangoisseDuRoiSalomon.1979" "Gary_Au-DelàDeCetteLimite.1975" "Gary_LaPromesseDlAube.1960" "Gary_LesClownsLyriques.1979" "Gary_LesEnchanteurs.1973" "Gary_LesRacinesDuCiel.1956" "SchwarzBart_LaMulatresse-Solitude.1972" "SchwarzBart_LeDernierDesJustes.1959" "Vailland_LaLoi.1957" "Vailland_LesMauvaisCoups.1948"
"Ajar_LangoisseDuRoiSalomon.1979" 0 0.947034974870427 1.20636385500738 1.05629091668855 1.32640930398591 1.14044887384104 1.6635434065078 1.40743218950447 1.40591591276914 1.24527558521497
"Gary_Au-DelàDeCetteLimite.1975" 0.947034974870427 0 0.869039104746591 0.850654259931567 1.01262395941063 0.944785052252517 1.4871568914986 1.20154797257717 1.20277005169988 1.05031728931961
"Gary_LaPromesseDlAube.1960" 1.20636385500738 0.869039104746591 0 0.863314219378302 0.779729031000518 0.838048545826989 1.27490497501172 1.09453538281127 1.14792329560825 1.14876739801148
"Gary_LesClownsLyriques.1979" 1.05629091668855 0.850654259931567 0.863314219378302 0 0.948768394547551 0.702278820111956 1.23273323108588 1.02034234855415 1.07138972559977 1.07646392590471
"Gary_LesEnchanteurs.1973" 1.32640930398591 1.01262395941063 0.779729031000518 0.948768394547551 0 0.875608969422434 1.19050506156445 1.03557099970484 1.16263375591757 1.21147756933455
"Gary_LesRacinesDuCiel.1956" 1.14044887384104 0.944785052252517 0.838048545826989 0.702278820111956 0.875608969422434 0 1.27224235353275 1.11281522719581 1.16436126402788 1.15778256384999
"SchwarzBart_LaMulatresse-Solitude.1972" 1.6635434065078 1.4871568914986 1.27490497501172 1.23273323108588 1.19050506156445 1.27224235353275 0 0.885376521196554 1.20304885032227 1.3714310426301
"SchwarzBart_LeDernierDesJustes.1959" 1.40743218950447 1.20154797257717 1.09453538281127 1.02034234855415 1.03557099970484 1.11281522719581 0.885376521196554 0 1.0184811746584 1.11310708173687
"Vailland_LaLoi.1957" 1.40591591276914 1.20277005169988 1.14792329560825 1.07138972559977 1.16263375591757 1.16436126402788 1.20304885032227 1.0184811746584 0 0.844209076437534
"Vailland_LesMauvaisCoups.1948" 1.24527558521497 1.05031728931961 1.14876739801148 1.07646392590471 1.21147756933455 1.15778256384999 1.3714310426301 1.11310708173687 0.844209076437534 0
